Username,Review Date,Review
Padi Takhu,Reviewed in India on 25 June 2023,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming."
shubham,Reviewed in India on 16 November 2022,"This is one of the best cpu in budget if you only looking for gaming.For productivity it not worth buying then you should go for i5 12400fBut for gaming and light cpu workload it work like butter smooth.I have teated some games in it , you can check it on my YT channel R tech studio."
Debasis Dhar,Reviewed in India on 15 August 2022,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler
Lakhan Lal Uraon,Reviewed in India on 11 November 2023,Performance is good
Ruchit,Reviewed in India on 24 August 2023,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed."
Jayanth,Reviewed in India on 26 April 2023,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing
Ashutosh Aswal,Reviewed in India on 20 June 2023,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine."
Doraemon,Reviewed in Italy on 6 October 2022,"📋 ⭐Descrizione del Prodotto⭐ :l'Intel® i3 12100F è un processore di 12° generazione,dotato di 4 coread alte prestazioni di ultima generazione e 8 thread,monta su schedemadri con attacco LGA1700,supporta le Ram DDR4 e DDR5,supporta leconnessioni PCI-E 5.0 e 4.0,ha un clock di sistema da un minimodi 3.3GHz e fino a 4.3GHz,ha un consumo minimo di 60W e 89W dipicco,non è previsto l'overclock per alzare ulteriormente lafrequenza operativa,ma supporta l'overclock delle RAM sia inDDR4 che in DDR5,questa funzione gli permette di guadagnarein prestazioni (soprattutto nel gaming) quasi paragonabiliall'overclock del processore se fosse sbloccato.Questa è in sintesi la sinossi di questo processore,il web è pieno di recensioni molto più tecniche chespiegano perchè l'Intel i3 1200F è al momento,la migliore ed unica CPU da gaming nellafascia dei 110/130 euro.Le prestazioni sono inequivocabilmente eccellenti per chidesidera giocare in full-hd mantenendo un budget basso.Inoltre in molti videogames se la gioca alla pari conprocessori dal costo quasi doppio e con qualche Core in più.Si difende molto bene anche nei benchmark a singolo core,tuttavia nei carichi con molti core perde qualcosa ovviamente.La doppia compatibilità sia con DDR4 che con DDR5 e conil PCI-E 4.0 e 5.0 ci permette di poter scegliere ancheuna scheda madre dal prezzo adeguato al nostro budget,come ad esempio una H610 compatibile con l'i3 12000Fma che supporta le sole DDR4 e il PCI-E 4.0.Quindi scheda madre economica e che monta RAM DDR4 facilmentereperibili a prezzi più umani delle DDR5 giusto per capirci,inoltre l'i312000F è prestante e competitivo anche con le DDR4 e vari testsul web lo dimostrano.📦 ⭐Confezione⭐ :La scatola è nel classico colore Intel,con sigillo da rimuovere,a riprova di un prodotto nuovo,all'interno troviamo il processorenella sua vaschetta in plastica,un ottimo dissipatore intel,adeguatoalla CPU in oggetto con già il cerotto dissipante applicato alla sua base,un sintetico manuale con attaccato nella pagina principale l'adesivo staccabiledi Intel® Core i3 da apporre,se si vuole,sul fronte del case.🚚 ⭐Spedizione⭐ :A cura di Amazon,quindi rapida,sicura econforme agli standard dell'azienda.📉📈 ⭐Considerazioni finali⭐ :Un ottimo processore dalle ottime performance se si vuole tenere la spesa inun certo range ma che si difende benissimo sia nel gaming che nei lavori ditutti i giorni.il mio voto personale relazionato al rapporto Prestazioni/prezzoè di ⭐⭐⭐⭐⭐ stelle.La mia scala di voto è così definita:⭐️ stella prodotto da evitare⭐️⭐️ stelle prodotto insufficiente,⭐️⭐️⭐️ stelle prodotto sufficiente,⭐️⭐️⭐️⭐️ stelle prodotto buono,⭐️⭐️⭐️⭐️⭐️ stelle prodotto ottimo.Spero che questa mia recensione ti abbia aiutato a capiredi che tipo di prodotto si tratta.Saluti...👋"
Melwin Hilmersson,Reviewed in Sweden on 30 December 2023,stod när jag beställde att den skulle komma 5 januari sen dagen efter kollar jag och ser att den kommer 9 januari
Rogeria souza,Reviewed in Brazil on 27 January 2024,"Muito bom, super recomendo"
Product kharap hai. On nhi ho raha. Or return nhi ho raha. Warrenty vi nhi de raha ye lok. Ye product kharap h kharid na mat. dur raho sob isse,Reviewed in India on 15 October 2023,Good product
